problem,n,m,direction,linesearch,start,iters,nfev,ngev,reason
DGO1,1,2,sd,qwolfe,42,500,31131,12671,maxIter
DGO1,1,2,sd,dwolfe,42,500,30951,11501,maxIter
DGO1,1,2,sd,qwolfe,43,500,31113,12725,maxIter
DGO1,1,2,sd,dwolfe,43,500,30987,11473,maxIter
DGO1,1,2,sd,qwolfe,44,500,30606,12449,maxIter
DGO1,1,2,sd,dwolfe,44,500,30864,11486,maxIter
DGO1,1,2,sd,qwolfe,45,500,30468,12365,maxIter
DGO1,1,2,sd,dwolfe,45,500,30681,11432,maxIter
DGO1,1,2,sd,qwolfe,46,500,30504,12474,maxIter
DGO1,1,2,sd,dwolfe,46,500,30480,11370,maxIter
DGO1,1,2,sd,qwolfe,47,500,30999,12659,maxIter
DGO1,1,2,sd,dwolfe,47,500,30279,11291,maxIter
DGO1,1,2,sd,qwolfe,48,500,30738,12540,maxIter
DGO1,1,2,sd,dwolfe,48,500,30561,11417,maxIter
DGO1,1,2,sd,qwolfe,49,500,30840,12587,maxIter
DGO1,1,2,sd,dwolfe,49,500,30483,11368,maxIter
DGO1,1,2,sd,qwolfe,50,500,30771,12581,maxIter
DGO1,1,2,sd,dwolfe,50,500,30594,11425,maxIter
DGO1,1,2,sd,qwolfe,51,500,30447,12469,maxIter
DGO1,1,2,sd,dwolfe,51,500,30483,11363,maxIter
DGO1,1,2,sd,qwolfe,52,500,30429,12411,maxIter
DGO1,1,2,sd,dwolfe,52,500,30372,11401,maxIter
DGO1,1,2,sd,qwolfe,53,500,30948,12606,maxIter
DGO1,1,2,sd,dwolfe,53,500,30462,11393,maxIter
DGO1,1,2,sd,qwolfe,54,500,30171,12326,maxIter
DGO1,1,2,sd,dwolfe,54,500,30045,11239,maxIter
DGO1,1,2,sd,qwolfe,55,500,31332,12862,maxIter
DGO1,1,2,sd,dwolfe,55,500,30621,11452,maxIter
DGO1,1,2,sd,qwolfe,56,500,30717,12574,maxIter
DGO1,1,2,sd,dwolfe,56,500,30390,11345,maxIter
DGO1,1,2,sd,qwolfe,57,500,30756,12513,maxIter
DGO1,1,2,sd,dwolfe,57,500,30222,11305,maxIter
DGO1,1,2,sd,qwolfe,58,500,30243,12293,maxIter
DGO1,1,2,sd,dwolfe,58,500,30093,11308,maxIter
DGO1,1,2,sd,qwolfe,59,500,30381,12461,maxIter
DGO1,1,2,sd,dwolfe,59,500,30513,11351,maxIter
DGO1,1,2,sd,qwolfe,60,500,30876,12538,maxIter
DGO1,1,2,sd,dwolfe,60,500,30414,11363,maxIter
DGO1,1,2,sd,qwolfe,61,500,30639,12501,maxIter
DGO1,1,2,sd,dwolfe,61,500,30330,11338,maxIter
DGO1,1,2,sd,qwolfe,62,500,30387,12392,maxIter
DGO1,1,2,sd,dwolfe,62,500,30552,11362,maxIter
DGO1,1,2,sd,qwolfe,63,500,30366,12421,maxIter
DGO1,1,2,sd,dwolfe,63,500,30117,11272,maxIter
DGO1,1,2,sd,qwolfe,64,500,30840,12619,maxIter
DGO1,1,2,sd,dwolfe,64,500,30354,11310,maxIter
DGO1,1,2,sd,qwolfe,65,500,30999,12641,maxIter
DGO1,1,2,sd,dwolfe,65,500,30489,11381,maxIter
DGO1,1,2,sd,qwolfe,66,500,30804,12532,maxIter
DGO1,1,2,sd,dwolfe,66,500,30267,11353,maxIter
DGO1,1,2,sd,qwolfe,67,500,30759,12522,maxIter
DGO1,1,2,sd,dwolfe,67,500,30123,11273,maxIter
DGO1,1,2,sd,qwolfe,68,500,30543,12440,maxIter
DGO1,1,2,sd,dwolfe,68,500,30114,11231,maxIter
DGO1,1,2,sd,qwolfe,69,500,30636,12518,maxIter
DGO1,1,2,sd,dwolfe,69,500,30339,11363,maxIter
DGO1,1,2,sd,qwolfe,70,500,30282,12418,maxIter
DGO1,1,2,sd,dwolfe,70,500,30714,11427,maxIter
DGO1,1,2,sd,qwolfe,71,500,31056,12616,maxIter
DGO1,1,2,sd,dwolfe,71,500,30147,11309,maxIter
DGO1,1,2,sd,qwolfe,72,500,31191,12678,maxIter
DGO1,1,2,sd,dwolfe,72,500,30012,11247,maxIter
DGO1,1,2,sd,qwolfe,73,500,30705,12480,maxIter
DGO1,1,2,sd,dwolfe,73,500,30537,11329,maxIter
DGO1,1,2,sd,qwolfe,74,500,30930,12574,maxIter
DGO1,1,2,sd,dwolfe,74,500,30336,11367,maxIter
