problem,n,m,direction,linesearch,start,iterations,nfev,ngev,cpu_time_sec,success,reason
DGO1,1,2,sd,dwolfe,56,500,30390,11345,0.2466608,1,maxIter
DGO1,1,2,sd,qwolfe,57,500,30756,12513,0.2753422,1,maxIter
DGO1,1,2,sd,dwolfe,57,500,30222,11305,0.2531359,1,maxIter
DGO1,1,2,sd,qwolfe,58,500,30243,12293,0.2803619,1,maxIter
DGO1,1,2,sd,dwolfe,58,500,30093,11308,0.2500201,1,maxIter
DGO1,1,2,sd,qwolfe,59,500,30381,12461,0.2904027,1,maxIter
DGO1,1,2,sd,dwolfe,59,500,30513,11351,0.2543224,1,maxIter
DGO1,1,2,sd,qwolfe,60,500,30876,12538,0.2830814,1,maxIter
DGO1,1,2,sd,dwolfe,60,500,30414,11363,0.2683456,1,maxIter
DGO1,1,2,sd,qwolfe,61,500,30639,12501,0.3100405,1,maxIter
DGO1,1,2,sd,dwolfe,61,500,30330,11338,0.2884477,1,maxIter
DGO1,1,2,sd,qwolfe,62,500,30387,12392,0.30983,1,maxIter
DGO1,1,2,sd,dwolfe,62,500,30552,11362,0.2709639,1,maxIter
DGO1,1,2,sd,qwolfe,63,500,30366,12421,0.3060629,1,maxIter
DGO1,1,2,sd,dwolfe,63,500,30117,11272,0.24589,1,maxIter
DGO1,1,2,sd,qwolfe,64,500,30840,12619,0.2866407,1,maxIter
DGO1,1,2,sd,dwolfe,64,500,30354,11310,0.3033022,1,maxIter
DGO1,1,2,sd,qwolfe,65,500,30999,12641,0.286065,1,maxIter
DGO1,1,2,sd,dwolfe,65,500,30489,11381,0.247718,1,maxIter
DGO1,1,2,sd,qwolfe,66,500,30804,12532,0.2823306,1,maxIter
DGO1,1,2,sd,dwolfe,66,500,30267,11353,0.2470053,1,maxIter
DGO1,1,2,sd,qwolfe,67,500,30759,12522,0.2829252,1,maxIter
DGO1,1,2,sd,dwolfe,67,500,30123,11273,0.2468624,1,maxIter
DGO1,1,2,sd,qwolfe,68,500,30543,12440,0.2783452,1,maxIter
DGO1,1,2,sd,dwolfe,68,500,30114,11231,0.2465489,1,maxIter
DGO1,1,2,sd,qwolfe,69,500,30636,12518,0.2777439,1,maxIter
DGO1,1,2,sd,dwolfe,69,500,30339,11363,0.2546854,1,maxIter
DGO1,1,2,sd,qwolfe,70,500,30282,12418,0.2900775,1,maxIter
DGO1,1,2,sd,dwolfe,70,500,30714,11427,0.2558764,1,maxIter
DGO1,1,2,sd,qwolfe,71,500,31056,12616,0.2900419,1,maxIter
DGO1,1,2,sd,dwolfe,71,500,30147,11309,0.2599215,1,maxIter
